제조번호,방출율(%),d(0.1),d(0.5),d(0.9),제품명,설비명,타정 일자,목표타정량(mg),평균질량(mg),개개질량_Min(mg),개개질량_Max(mg),경도_Min(N),경도_Max(N),두께_Min,두께_Max,마손도(%),붕해도(min),예압롤간격(mm),본압롤간격(mm),충전깊이(mm),타정속도(rpm),타정압(KN),교반기 속도(rpm),용출_최소,작업자
JE022BE6,97.5,0.666,6.085,18.8,프리그렐정,Kilian#3,2024.07.08,347,349,343,355,5.8,7.5,5.5,5.5,0,19,3.31,2.64,7.96,97200,9.3,30,88,이정훈
JE023BE6,98,0.609,5.985,20.3,프리그렐정,Kilian#3,2024.07.08,346,348,342,354,5.9,7.9,5.5,5.5,0.1,15,3.28,2.64,8.19,97200,9.2,30,86,김한준
JE024BE6,97.5,0.602,5.925,20.3,프리그렐정,Kilian#3,2024.07.09,347,349,344,355,6.4,7.4,5.5,5.5,0.1,17,3.29,2.66,8.04,97200,9.1,30,88,이정훈
JE025BE6,96.5,0.531,4.845,17.9,프리그렐정,Kilian#3,2024.07.22,347,348,337,354,5.8,7.2,5.5,5.5,0,28,3.32,2.67,7.7,81000,8.7,30,87,"이정훈
김한준"
JE026BE6,96,0.467,3.96,15.65,프리그렐정,Kilian#3,2024.07.23,347,349,345,353,6.3,7.3,5.5,5.5,0.1,29,3.3,2.66,7.86,81000,9,30,91,이정훈
JE027BE6,96,0.473,4.025,15.65,프리그렐정,Kilian#3,2024.07.23,346,344,337,352,6.2,8.6,5.4,5.5,0,28,3.31,2.6,7.55,81000,9.3,30,86,이정훈
JE028BE6,96.5,0.492,4.41,15.45,프리그렐정,Kilian#3,2024.07.24,346,347,342,353,7,8.3,5.44,5.5,0.1,28,3.31,2.68,7.86,81000,8.8,30,89,이정훈
JE029BE6,97,0.523,5.015,15.6,프리그렐정,Kilian#3,2024.08.14,347,346,339,353,7.3,8.9,5.43,5.48,0.1,25,3.31,2.67,8.6,81000,9,50,89,김한준
JE030BE6,96.5,0.534,5.375,15.85,프리그렐정,Kilian#3,2024.08.14,347,349,343,354,6.5,8,5.47,5.53,0,22,3.3,2.66,8.7,81000,9.1,55,96,이정훈
JE031BE6R0,95.5,0.596,5.735,16.6,프리그렐정,Kilian#3,2024.11.13,347,346,337,353,6.3,7.7,5.13,5.17,0,28,3.26,2.33,6.87,81000,10.8,60,72.1,김한준
JE032BE6,97,0.649,5.745,17.05,프리그렐정,Kilian#3,2024.09.19,347,349,343,354,5.5,6.6,5.38,5.47,0,27,3.3,2.42,8.14,81000,10.2,50,96,"이정훈
김한준"
JE033BE6,97.5,0.65,5.615,16.6,프리그렐정,Kilian#3,2024.09.20,347,348,341,355,6.2,7.7,5.35,5.42,0,28,3.3,2.45,7.3,81000,10.4,50,87,이정훈
JE034BE6,97,0.589,5.145,15.55,프리그렐정,Kilian#3,2024.09.20,347,347,340,356,6.2,7.6,5.34,5.43,0,28,3.3,2.45,7.3,81000,11.2,50,95,김한준
JE035BE6,96.5,0.526,4.79,15,프리그렐정,Kilian#3,2024.09.23,348,348,339,352,5.9,7.7,5.33,5.41,0.1,28,3.31,2.46,6.98,81000,10.7,50,81,이정훈
JE036BE6,96.5,0.521,4.735,15,프리그렐정,Kilian#3,2024.09.23,349,348,343,354,6.5,8.4,5.35,5.4,0,28,3.28,2.44,7.1,81000,11.1,50,96,김한준
JE037BE6,97,0.707,5.92,20.15,프리그렐정,Kilian#3,2024.10.21,350,351,344,356,5.8,7.6,5.26,5.6,0,27,3.29,2.35,6.81,81000,11.8,50,87,"김한준
이정훈"
JE038BE6,96.5,0.876,7.025,25.55,프리그렐정,Kilian#3,2024.10.22,350,350,345,355,6.8,8.5,5.19,5.29,0,28,3.29,2.4,6.85,81000,11.5,50,83,김한준
JE039BE6,97.5,0.916,6.955,25.45,프리그렐정,Kilian#3,2024.10.23,350,352,347,357,5.5,6.8,5.26,5.33,0,28,3.31,2.42,6.73,81000,11.4,50,93,이정훈
JE040BE6,100,0.857,7.135,21.4,프리그렐정,Kilian#3,2024.10.24,350,350,343,356,6.7,8.1,5.22,5.26,0,28,3.26,2.42,6.96,81000,11.6,50,93,이정훈
JE041BE6,103.5,0.72,7.025,17.4,프리그렐정,Kilian#3,2024.10.24,350,351,345,356,6.3,8.3,5.23,5.35,0.1,29,3.28,2.43,7.06,81000,11.1,50,88,이정훈
JE042BE6R0,103.5,0.691,6.725,17.2,프리그렐정,Kilian#3,2024.11.18,348,348,342,355,5.9,8.1,5.16,5.19,0.1,27,3.26,2.35,6.88,81000,10.8,60,21.1,이정훈
JE043BE6,102,0.642,6.04,16.1,프리그렐정,Kilian#3,2024.11.12,347,349,344,356,6.2,8.5,5.15,5.19,0.2,28,3.27,2.33,7.03,81000,10.8,60,50,김한준
JE044BE6R0,102,0.593,5.31,14.9,프리그렐정,Kilian#3,2024.11.18,346,346,339,350,5.9,7.4,5.1,5.15,0.1,27,3.29,2.38,6.53,81000,10.8,60,74.5,김한준
JE045BE6,103.5,0.583,5.175,14.7,프리그렐정,Kilian#3,2024.11.13,346,347,340,356,5.8,7.6,5.12,5.19,0.1,27,3.26,2.38,6.79,81000,9.9,60,16.4,김한준
JE046BE6,101.5,0.66,5.92,15.9,프리그렐정,Kilian#3,2024.11.19,350,348,341,354,6,7.5,5.17,5.23,0.1,29,3.3,2.46,6.95,81000,9.8,60,46.4,이정훈
JE047BE6,99.5,0.741,6.67,17.15,프리그렐정,Kilian#3,2024.11.19,351,350,342,355,5.9,8.6,5.22,5.28,0.1,26,3.3,2.51,6.97,81000,10.1,60,,이정훈
JE049BE6,100.5,0.76,6.955,19.75,프리그렐정,Kilian#3,2024.11.20,349,352,347,359,5,6.7,5.21,5.25,0.1,28,3.3,2.35,6.73,81000,12,60,,이정훈
JE050BE6,97,0.772,7.15,22.3,프리그렐정,Kilian#3,2024.11.20,349,351,345,356,6,7.5,5.14,5.21,0,20,3.29,2.35,6.76,97000,12,60,,이정훈
JE051BE6,96,0.756,6.985,22.2,프리그렐정,Kilian#3,2024.12.03,349,353,348,350,5.3,7.1,5.17,5.23,0.1,23,3.27,2.27,6.73,97000,12.5,60,,이정훈
JE052BE6,99.5,0.768,7.105,22.85,프리그렐정,Kilian#3,2024.12.04,353,352,345,358,6.3,8,5.12,5.19,0,23,3.28,2.27,6.93,97000,13.3,60,,이정훈
